ID,Name,Formula,Ion Species,Mass (DB),CAS,CCS (DB),RT,SD,DT,SD,CCS,SD,m/z,SD,Abundance,RSD,Z,Ions,Freq.,Q Score,Sat.,Mark,NEG Media Blank01 DI2.d.HRdm, NEG Media Blank02 DI2.d.HRdm, NEG Media Blank03 DI2.d.HRdm, NEG QCdilution 0 0625 DI2.d.HRdm, NEG QCdilution 0 125 DI2.d.HRdm, NEG QCdilution 0 25 DI2.d.HRdm, NEG QCdilution 0 5 DI2.d.HRdm, NEG QCdilution 1 0 DI2.d.HRdm, NEG S1P DI2.d.HRdm, NEG S1S DI2.d.HRdm, NEG S2P DI2.d.HRdm, NEG S2S DI2.d.HRdm, NEG S3P DI2.d.HRdm, NEG S3S DI2.d.HRdm, NEG W1P DI2.d.HRdm, NEG W1S DI2.d.HRdm, NEG W2P DI2.d.HRdm, NEG W2S DI2.d.HRdm, NEG W3P DI2.d.HRdm, NEG W3S DI2.d.HRdm
509,5''-Phosphoribostamycin,C17 H35 N4 O13 P,(M-H)-,534.1938,,,0.578,0.001,37.518,0.032,209.04,0.18,533.1846,0.0007,0.002087,2.31,-1,3,4,100,,FALSE,1753319,1914741,1782988,0.001,0.001,0.001,0.001,279322.8,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
510,N2-Acetyl-L-ornithine,C7 H14 N2 O3,(M-H)-,174.1004,2185-16-2,,1.596,0.04,26.003,0.166,151.68,0.98,173.0936,0.0001,0.0020831,1.1,-1,2,11,93.7,,FALSE,381157,352949.6,232272.3,0.001,0.001,0.001,0.001,920502.2,0.001,784338.1,597753.9,568167.9,0.001,259385.3,0.001,597277.8,0.001,552727.8,0.001,420030
511,"cis-1,3,4,6,7,11b-Hexahydro-9-methoxy-2H-benzo[a]quinolizine-3-carboxylic acid",C15 H19 N O3,(M-H)-,261.1365,,,2.609,0.003,28.71,0.039,163.7,0.23,260.1322,0.0001,0.0020831,3.08,-1,3,2,100,,FALSE,0.001,0.001,2940460,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,2828489,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
512,Panaxytriol,C17 H26 O3,(M-H)-,278.1882,,,0.346,0.003,30.097,0.047,171.18,0.27,277.1809,0.0003,0.0020692,0.84,-1,2,14,100,,FALSE,361116.5,358925.8,393659.1,0.001,295414.1,452534,430274.3,0.001,310308.3,0.001,425422.3,218968.7,368770.7,0.001,0.001,180888.1,288427,228680.8,318725.8,0.001
513,,,,,,,2.03,0.047,31.303,0.143,176.76,0.82,331.161,0.0009,0.0020518,1.61,-1,3,8,88.7,,FALSE,925926.8,0.001,0.001,0.001,0.001,0.001,181835.1,1390033,0.001,0.001,0.001,1246621,286081.9,701993.1,0.001,204240.2,0.001,662091.3,0.001,0.001
514,,,,,,,0.217,0.002,34.89,0.042,195.93,0.24,397.2255,0.0007,0.0020514,1.09,-1,3,13,99.7,,FALSE,0.001,0.001,0.001,0.001,68295.02,204727.8,280594.4,558476.7,507319.6,617541.5,313776.7,296171.1,546698.3,0.001,0.001,274347.1,0.001,155032.3,872783.3,276844.3
515,Glutamylphenylalanine,C14 H18 N2 O5,(M-H)-,294.1216,7432-24-8,,2.534,0.002,30.176,0.047,171.2,0.27,293.114,0.0003,0.0020317,0.84,-1,2,13,100,,FALSE,461780.8,455437.3,0.001,0.001,0.001,0.001,232732.1,498357.2,0.001,447894.3,332401.9,593476.6,0.001,465702.4,78197.02,619688.7,0.001,472104.6,186120.5,623499.2
516,,,,,,,1.614,0.039,30.901,0.067,175.13,0.38,302.1717,0.0002,0.0020226,0.89,-1,2,12,90.8,,FALSE,550162.4,568844.6,494331.3,0.001,0.001,0.001,0.001,327207.3,517265,241701.7,244067.5,428449.2,495207.2,529278.1,0.001,603456.1,0.001,0.001,0.001,570979.3
517,,,,,,,0.609,0.002,29.472,0.037,167.17,0.21,293.0512,0.0002,0.0020207,1.01,-1,2,11,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,330705.8,595042.8,597232.3,636214.9,376679.8,459551.6,0.001,638348.1,242009.2,472046.1,222537.3,763941.1
518,Glutamine,C5 H10 N2 O3,(M-H)-,146.0691,56-85-9,,2.04,0.045,24.297,0.041,143.5,0.24,145.0621,0.0002,0.0020172,1.07,-1,2,11,99,,FALSE,400049.8,346221.5,817438.3,0.001,0.001,0.001,194767.4,443285,0.001,460887.7,0.001,269379.2,0.001,757900.8,0.001,812025.5,0.001,466980.4,0.001,715632.4
519,,,,,,,0.649,0.005,32.447,0.046,181.54,0.26,437.9705,0.0003,0.00201,0.68,-1,2,15,100,,FALSE,0.001,0.001,0.001,271718.1,352319.5,291336.5,297067.8,256731.1,317283.1,329772.3,361109.6,317093.2,266749,292682.5,0.001,290581,275044.1,0.001,293180.5,314621.2
520,N2-Acetyl-L-ornithine,C7 H14 N2 O3,(M-H)-,174.1004,2185-16-2,,1.474,0.005,26.141,0.099,152.49,0.59,173.0937,0.0003,0.0020087,1.03,-1,2,11,98.8,,FALSE,508450,467080.6,519912.4,0.001,0.001,134065.6,0.001,867329.7,0.001,716858.6,349995.1,493647.3,0.001,0.001,0.001,423132.8,0.001,525270.8,256088.9,0.001
521,N5-(L-1-Carboxyethyl)-L-ornithine,C8 H16 N2 O4,(M-H)-,204.111,,,1.744,0.014,25.069,0.033,144.65,0.2,203.1031,0.0006,0.0020036,1.52,-1,2,8,99.5,,FALSE,0.001,0.001,897813.3,0.001,0.001,151667.7,0.001,788595.3,0.001,0.001,0.001,898972.4,233565.1,0.001,0.001,1228529,0.001,181605.9,0.001,1229312
522,5'-Benzoylphosphoadenosine,C17 H18 N5 O8 P,(M-H)-,451.0893,,,2.855,0.055,34.269,0.033,191.68,0.18,450.0827,0.0004,0.0019964,1.28,-1,3,10,89.4,,FALSE,404649.7,0.001,0.001,0.001,552173.7,553904.4,0.001,593059.2,318308.4,0.001,419834.2,0.001,0.001,0.001,0.001,429981.1,504702.9,54191.38,0.001,512333.8
523,δ-(L-2-Aminoadipyl)-L-cysteinyl-D-valine,C14 H25 N3 O6 S,(M-H)-,363.1464,,,2.442,0.004,32.48,0.036,182.87,0.2,362.1379,0.0003,0.0019785,0.55,-1,3,16,100,,FALSE,366933.4,381634.8,393038,0.001,0.001,145272.6,220076.2,0.001,210081.6,304293.8,283825.3,377310.2,241923.6,409867.2,0.001,432777.7,218978,356116.1,310309.8,412453.1
524,,,,,,,0.919,0.01,31.45,0.055,177.27,0.31,348.0536,0.0003,0.0019719,1.81,-1,3,6,100,,FALSE,1242173,1444353,1305607,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,513548.8,0.001,509017.4,0.001,0.001,0.001,506770.7
525,Cytidine,C9 H13 N3 O5,(M-H)-,243.0855,65-46-3,,2.114,0.003,27.216,0.037,155.65,0.21,242.0783,0.0003,0.0019686,0.86,-1,2,12,100,,FALSE,486816.8,346669.4,0.001,0.001,0.001,197818.9,0.001,453683.4,397119.8,417848,335451.8,624303,376773.7,478952.8,0.001,573329.1,0.001,489397.5,0.001,0.001
526,,,,,,,2.563,0.004,35.243,0.135,197.45,0.76,429.2335,0.0005,0.0019683,0.65,-1,2,16,100,,FALSE,0.001,440598.8,427567.3,0.001,0.001,127106.1,156715.3,454396.6,260087.9,449430.7,62118.75,367855.4,288759.7,0.001,162673.1,659101.9,178323.8,369317.5,238828.1,435219.2
527,D-(+)-Malate,C4 H6 O5,(M-H)-,134.0215,636-61-3,116.3,2.606,0.038,19.596,0.008,116.23,0.05,133.0146,0.0005,0.0019587,1.67,-1,2,6,91.4,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1337457,0.001,734668.4,0.001,552084.3,0.001,669579.4,0.001,0.001,0.001,370546.9,1019721
528,N1-Amidinostreptamine 6-phosphate,C7 H17 N4 O7 P,(M-H)-,300.0835,,,1.253,0.002,31.201,0.027,176.92,0.16,299.0779,0.0002,0.0019574,0.77,-1,4,13,100,,FALSE,379904.5,362654.2,406607.3,0.001,0.001,0.001,0.001,483113.7,0.001,454778.9,344917.8,448993.5,310044.5,420084.9,0.001,545687.4,198814.2,416657,0.001,502299.6
529,,,,,,,2.015,0.04,31.467,0.111,178.05,0.63,315.1669,0.0004,0.0019333,0.99,-1,2,12,100,,FALSE,441878.2,0.001,403760.3,0.001,0.001,0.001,337722.7,600484.8,312729,662862.9,67522.73,0.001,407293.9,424896.3,0.001,421819.3,0.001,387123,0.001,883603.6
530,Propyl 1-(propylsulfinyl)propyl disulfide,C9 H20 O S3,(M-H)-,240.0676,,,0.23,0.002,26.364,0.037,150.82,0.21,239.0593,0.0003,0.001931,0.48,-1,3,18,100,,FALSE,0.001,260588.3,261670.3,218761.5,223321.9,151794.5,164925.1,460559.9,275449.2,0.001,248275,260712.1,172808.6,210747.7,288407,183419.8,268617.8,302653,252374.6,218365
531,PE(15:0/18:1(11Z)),C38 H74 N O8 P,(M-H)-,703.5152,,,0.857,0.009,47.699,0.064,264.62,0.36,702.5042,0.0007,0.0019287,1.46,-1,4,9,100,,FALSE,0.001,0.001,0.001,0.001,0.001,67907.59,208868.2,150401.7,479961,0.001,443440.6,0.001,579462.4,0.001,631770.5,0.001,712466.3,0.001,744934.1,0.001
532,PG(16:1(9Z)/16:1(9Z)),C38 H71 O10 P,(M-H)-,718.4785,,,0.387,0.002,47.982,0.058,266.1,0.33,717.4666,0.0006,0.0019205,1.55,-1,2,8,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,74005.42,194192,569931.3,0.001,472268.8,0.001,645069.1,0.001,508824.5,0.001,677280.7,0.001,951042.2,0.001
533,,,,,,,1.4,0.006,31.062,0.054,175.81,0.31,312.1563,0.0002,0.0019137,1.03,-1,3,11,100,,FALSE,629071.8,555182.4,0.001,0.001,69252.81,179953.5,0.001,335260.5,0.001,507182.2,0.001,507553.9,348736.2,652474.7,0.001,629432.8,0.001,0.001,0.001,719151.1
534,Thiobencarb,C12 H16 Cl N O S,(M-H)-,257.0641,28249-77-6,,1.122,0.012,26.24,0.024,149.58,0.14,256.0595,0.0001,0.0019104,1.83,-1,3,6,100,,FALSE,1266432,1320463,1316618,0.001,0.001,0.001,0.001,674848.6,0.001,0.001,0.001,0.001,0.001,0.001,0.001,387195.1,0.001,0.001,0.001,351887.2
535,Procyanidin B5,C30 H26 O12,(M-H)-,578.1424,12798-57-1,,2.317,0.055,41.41,0.048,230.46,0.27,577.1342,0.0002,0.0019033,1.94,-1,3,8,93.7,,FALSE,445389.3,0.001,0.001,0.001,256028.7,1129639,0.001,0.001,276874.8,0.001,476610,178417.5,0.001,0.001,0.001,0.001,271819.2,0.001,540676.1,0.001
536,1-Pentanesulfenothioic acid,C5 H12 S2,(M-H)-,136.038,86849-52-7,,0.62,0.001,18.495,0.024,109.45,0.14,135.0311,0.0002,0.0018995,1.35,-1,4,8,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,748763,574064.3,646281.1,0.001,447991.6,342929.4,611769.8,0.001,0.001,689103.1,415482,0.001
537,,,,,,,2.646,0.014,30.92,0.116,174.56,0.66,332.1459,0.0003,0.0018912,1.09,-1,3,10,99,,FALSE,0.001,508665.8,621100.1,0.001,231926,281203.8,0.001,511915.8,0.001,301296.6,0.001,364353.5,0.001,750719.2,0.001,660371.9,0.001,617230.4,0.001,0.001
538,Glutaminyl-Histidine,C11 H17 N5 O4,(M-H)-,283.1281,,,2.638,0.005,28.772,0.044,163.43,0.25,282.1204,0.0003,0.0018793,0.92,-1,2,12,100,,FALSE,530929.4,603909.8,580984.1,191313,0.001,0.001,368558.8,496836.7,0.001,0.001,0.001,0.001,219297.4,520128.4,0.001,441474.3,200626.2,299803.6,0.001,538010.3
539,,,,,,,0.418,0.002,31.649,0.047,181.52,0.27,236.1055,0.0004,0.001877,1.09,-1,2,11,100,,FALSE,0.001,204127.4,0.001,0.001,239034.3,323065.6,450167.2,705652.7,259440.8,192032.6,312436.8,0.001,462293.8,0.001,481628.1,0.001,355340.3,0.001,0.001,0.001
540,Tetracenomycin B1,C20 H14 O6,(M-H)-,350.079,,,0.242,0.041,31.312,0.036,176.46,0.2,349.0736,0.0004,0.0018765,0.71,-1,3,15,100,,FALSE,244397.5,0.001,0.001,39355.79,269232.3,221673.3,210183.4,408722.7,393492.1,366161.8,334225.8,354510.8,335753.3,0.001,168875,386289.6,0.001,241786.8,406825.8,0.001
541,,,,,,,2.388,0.018,27.007,0.032,153.06,0.19,292.0157,0.0003,0.0018672,0.94,-1,3,12,100,,FALSE,421664.5,428606.9,520163.7,0.001,0.001,407215.8,0.001,517469.9,0.001,370530.8,0.001,289875.2,458218.9,370103.7,0.001,366152.6,0.001,291985.8,0.001,338100.4
542,Procyanidin B5,C30 H26 O12,(M-H)-,578.1424,12798-57-1,,3.076,0.06,41.377,0.028,230.28,0.16,577.1334,0.0005,0.0018562,0.94,-1,3,14,93.7,,FALSE,214867.8,143170.5,0.001,0.001,323448.9,397632.8,320311.5,27375,411169.3,213887.2,307365.8,0.001,0.001,0.001,330578.3,0.001,347923.9,228611.5,393822.3,234841.7
543,,,,,,,0.65,0.004,32.426,0.028,181.39,0.16,439.9675,0.0004,0.001852,0.73,-1,4,14,100,,FALSE,336848.4,0.001,295690.9,302267.4,299254.3,0.001,322557.7,274611,367676.1,303472.1,0.001,0.001,315350.4,325020.2,0.001,267901.1,351179.7,288683.8,353753.8,0.001
544,Isoleucyl-Threonine,C10 H20 N2 O4,(M-H)-,232.1423,,,1.456,0.007,27.749,0.069,159.12,0.4,231.135,0.0001,0.0018474,1.02,-1,2,12,98.9,,FALSE,478263.7,623510,650228.3,0.001,0.001,0.001,485108,0.001,0.001,256052.8,0.001,242491.8,106843.6,570772.9,0.001,475110.9,101409.7,659917.1,0.001,409442
545,,,,,,,2.535,0.005,46.336,0.125,256.89,0.7,720.3543,0.0005,0.0018471,0.64,-1,3,17,100,,FALSE,399744.5,404950,366226.7,0.001,0.001,86565.81,73499.54,379902.7,150886.6,329157.7,183952.1,478278.7,148610,387469.9,66723.16,557548.5,140576.2,335795.8,0.001,435246.8
546,,,,,,,2.51,0.002,31.22,0.057,176.25,0.33,333.1413,0.0005,0.0018414,0.8,-1,2,13,100,,FALSE,335737.8,0.001,542362.5,0.001,0.001,0.001,321064.5,496714.2,379261.4,312737.1,361757.9,450233.2,424144.2,0.001,148550.3,0.001,262177.4,363013.4,202756.8,0.001
547,Glutamine,C5 H10 N2 O3,(M-H)-,146.0691,56-85-9,,2.323,0.004,29.117,0.062,172.32,0.37,145.0621,0.0001,0.0018386,1.04,-1,2,11,100,,FALSE,270438.4,309088.3,583743.2,0.001,0.001,388162.3,0.001,613084.1,388530.4,0.001,0.001,222347.8,0.001,506363.3,0.001,468121.2,0.001,0.001,442834.8,442982.4
548,Histidylleucine,C12 H20 N4 O3,(M-H)-,268.1535,7763-65-7,,1.993,0.072,28.562,0.086,162.64,0.49,267.1456,0.0002,0.0018329,1.2,-1,2,13,100,,FALSE,294675,0.001,1221547,0.001,0.001,252050.8,195946.9,0.001,239458.5,210841.2,258267.7,0.001,154338.1,0.001,76782.84,858838.8,249135.6,326828.2,0.001,358600.9
549,,,,,,,1.172,0.002,32.945,0.066,185.29,0.37,374.1712,0.0003,0.0018265,0.62,-1,2,16,100,,FALSE,328979.3,341265.5,301380.3,0.001,0.001,0.001,219248.7,375753.7,161777.4,316229.5,221735.8,437551.7,213508.3,332168.3,0.001,546007.9,93059.84,399025,173091.8,455324.5
550,,,,,,,1.913,0.049,32.245,0.092,182.18,0.53,329.1822,0.0003,0.0018222,1.36,-1,3,10,99.4,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,605641.9,204128.3,834711.7,321008.9,1015643,247369.7,640329,0.001,902948.2,0.001,0.001,124221.5,52313.84
551,Ε-(gamma-Glutamyl)-lysine,C11 H21 N3 O5,(M-H)-,275.1481,17105-15-6,,2.768,0.003,29.095,0.052,165.5,0.3,274.1409,0.0005,0.0018146,3.13,-1,2,3,100,,FALSE,0.001,0.001,0.001,2200310,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,715680.3,0.001,309581.6,0.001,0.001,0.001
552,,,,,,,2.942,0.051,24.308,0.033,139.74,0.19,215.0049,0.0002,0.0018114,1.15,-1,2,10,96.9,,FALSE,490216.9,0.001,406786.6,186094.4,470162.8,0.001,0.001,0.001,397219.5,0.001,0.001,0.001,0.001,471293.2,0.001,479595.4,0.001,554355.6,617047.9,384628.1
553,Asparaginyl-Isoleucine,C10 H19 N3 O4,(M-H)-,245.1376,,,1.892,0.054,27.373,0.086,156.49,0.5,244.1299,0.0003,0.0018098,0.83,-1,2,17,93.7,,FALSE,0.001,37100.08,300150.6,0.001,224214.3,332921.4,269576.8,402994.4,259992.5,181161.8,116566.4,70095.18,230406.3,38453.32,183689.6,0.001,174940.7,317147.1,227855.4,855433.1
554,gamma-L-Glutamyl-L-pipecolic acid,C11 H18 N2 O5,(M-H)-,258.1216,,,0.889,0.017,28.853,0.04,164.62,0.23,257.1138,0.0003,0.0017913,0.9,-1,2,12,98.9,,FALSE,438490.7,260660.7,493470.3,0.001,0.001,0.001,479366.4,590714.1,235945.1,345137.6,339593.6,0.001,356574.2,417790.3,0.001,0.001,0.001,0.001,246496.6,461251.2
555,,,,,,,0.127,0.016,30.987,0.04,174.71,0.23,344.0361,0.0002,0.0017888,1.28,-1,3,8,87.5,,FALSE,0.001,645679,0.001,0.001,0.001,0.001,0.001,530968.1,551701.6,575595.3,0.001,0.001,0.001,493834.4,471247.5,0.001,516487.5,0.001,0.001,637156.6
556,6-Gingerol,C17 H26 O4,(M-H)-,294.1831,23513-14-6,,0.223,0.032,32.154,0.055,182.53,0.32,293.1772,0.0005,0.0017875,1.56,-1,3,10,93.5,,FALSE,0.001,0.001,0.001,0.001,0.001,702490.9,594067.7,158757.8,0.001,283199.4,0.001,0.001,743953,85457.61,0.001,44201.04,267365.3,0.001,615149.2,287724.3
557,3''-Deamino-3''-oxonicotianamine,C12 H18 N2 O7,(M-H)-,302.1114,,,2.532,0.001,29.899,0.019,169.42,0.11,301.1034,0.0003,0.0017856,1.2,-1,2,9,100,,FALSE,540514.3,0.001,533566.8,0.001,0.001,0.001,0.001,484991.5,355912,596180.1,577327.7,0.001,0.001,0.001,0.001,0.001,0.001,580685.3,248801.1,859702.8
558,,,,,,,1.62,0.002,35.531,0.07,199.86,0.4,380.2292,0.0003,0.0017803,0.68,-1,2,16,100,,FALSE,325186.4,384334.6,329988.6,0.001,0.001,22924.54,0.001,353528.9,168704,305323.1,251777.3,499263.2,180673,418996.4,0.001,405125,104343.5,337276.4,174210.6,516030.1
559,6-Acetamido-3-aminohexanoate,C8 H16 N2 O3,(M-H)-,188.1161,,,1.838,0.007,25.523,0.083,148.06,0.49,187.1087,0.0002,0.0017733,1.34,-1,2,9,99.9,,FALSE,0.001,295722.1,0.001,0.001,0.001,156011.3,0.001,0.001,0.001,0.001,0.001,937782.9,0.001,193456.1,338621.3,930159.7,551938.4,605685.8,274941,0.001
560,,,,,,,1.186,0.003,31.134,0.042,175,0.24,375.0284,0.0004,0.0017729,0.91,-1,3,15,100,,FALSE,201786.9,161691.7,177057.3,0.001,0.001,60766.33,139294.6,208247.9,274161.8,385476.8,342855.2,795728,0.001,211899.4,0.001,514455.5,0.001,699276,226130.2,348394.7
561,Poly-DL-(alanine)4,C12 H22 N4 O5,(M-H)-,302.159,25281-63-4,168,2.061,0.006,29.582,0.044,167.6,0.25,301.153,0.0015,0.0017723,0.89,-1,2,12,93.7,,FALSE,0.001,0.001,418369.3,0.001,0.001,0.001,335789.3,437007.2,252808.2,0.001,343372.7,446527,264963.6,542524.6,0.001,595273.3,170404.1,405946.8,0.001,539642.8
562,Asparaginyl-Threonine,C8 H15 N3 O5,(M-H)-,233.1012,,,2.259,0.029,26.094,0.109,149.49,0.63,232.0936,0.0002,0.0017686,1.53,-1,2,8,98,,FALSE,970828.9,0.001,812817.4,0.001,0.001,0.001,411729.6,0.001,0.001,0.001,68897.8,839692.6,0.001,0.001,0.001,0.001,0.001,870609.4,71321.56,844534.6
563,,,,,,,0.192,0.001,46.196,0.1,256.5,0.56,666.0562,0.0006,0.0017666,1.56,-1,3,11,100,,FALSE,77272.09,63034.32,104904.8,0.001,0.001,503053.8,951714.7,0.001,0.001,0.001,0.001,0.001,470469.8,383049,145573.2,0.001,761833.1,157719.6,0.001,151203
564,"(S)-5-Oxo-2,5-dihydrofuran-2-acetate",C6 H6 O4,(M-H)-,142.0266,,,0.535,0.03,20.681,0.084,122.16,0.5,141.0173,0,0.0017472,1.98,-1,2,5,99.6,,FALSE,0.001,1184260,0.001,246186.1,0.001,0.001,0.001,0.001,651574.4,0.001,0.001,0.001,0.001,0.001,895016.8,0.001,758362.1,0.001,0.001,0.001
565,,,,,,,2.331,0.002,24.545,0.052,140.27,0.3,240.0181,0.0002,0.0017454,1,-1,3,11,100,,FALSE,0.001,0.001,310534.7,0.001,239454.4,0.001,522248,584427.7,452840,339497,436337.5,0.001,503832.9,261342.4,0.001,417957.3,241955.3,0.001,0.001,0.001
566,Isoleucyl-Valine,C11 H22 N2 O3,(M-H)-,230.163,,,1.127,0.003,28.223,0.081,161.95,0.47,229.1553,0.0002,0.001741,1.55,-1,2,8,88.4,,FALSE,0.001,0.001,916808.4,0.001,0.001,0.001,0.001,0.001,326234.9,395576.3,153217.6,901498.6,0.001,178152.9,0.001,0.001,0.001,902870.6,0.001,1139530
567,Threoninyl-Tyrosine,C13 H18 N2 O5,(M-H)-,282.1216,,,1.55,0.003,28.022,0.048,159.15,0.27,281.1137,0.0002,0.0017378,0.71,-1,2,17,99,,FALSE,488437.6,445504.9,515207.2,0.001,0.001,86926.54,165686.4,157781.3,117754.7,308938.6,65871.77,440345.5,131293.2,394950.3,0.001,450672.7,73034.13,333259.7,124028,362363
568,,,,,,,0.394,0.002,47.124,0.082,261.5,0.46,691.4518,0.0007,0.0017366,1.53,-1,2,9,100,,FALSE,0.001,0.001,0.001,0.001,0.001,16669.19,83934.9,154718.2,490328.8,0.001,482195.8,0.001,599179.2,0.001,398128.3,0.001,638189.3,0.001,839272.9,0.001
569,Alanyl-Proline,C8 H14 N2 O3,(M-H)-,186.1004,,,2.227,0.002,25.214,0.053,146.36,0.31,185.0933,0.0001,0.0017346,0.95,-1,2,11,100,,FALSE,497796.1,471171.7,438148.2,0.001,0.001,0.001,0.001,439582.8,0.001,400816.9,0.001,435342.2,252334.4,493947.7,0.001,557122.9,0.001,343888.2,0.001,525619.6
570,S-(2-Hydroxyethyl)-N-acetyl-L-cysteine,C7 H13 N O4 S,(M-H)-,207.0565,15060-26-1,,1.786,0.002,25.062,0.025,144.49,0.15,206.0493,0.0002,0.0017328,0.92,-1,3,12,100,,FALSE,0.001,275288.8,227606.3,0.001,0.001,0.001,0.001,384390.1,338882.5,0.001,422500.8,419479.2,325383.5,344021.7,236725.7,0.001,0.001,358882.2,501388,492361.2
571,N-a-Acetylcitrulline,C8 H15 N3 O4,(M-H)-,217.1063,33965-42-3,,2.432,0.003,25.027,0.054,143.88,0.31,216.0986,0.0002,0.0017254,1.21,-1,2,11,100,,FALSE,289804.8,0.001,1160161,0.001,0.001,0.001,0.001,416490.9,0.001,407877.8,363150,0.001,0.001,320596.4,114972.4,526694.1,204552.6,429119.1,232230.3,0.001
572,Doisynoestrol,C19 H22 O3,(M-H)-,298.1569,15372-34-6,,0.225,0.001,31.957,0.066,181.3,0.38,297.1521,0.0004,0.0017247,1.57,-1,3,9,100,,FALSE,0.001,131418.7,0.001,0.001,0.001,78831.38,0.001,335935.9,1255201,667016.9,879945.6,361404.8,273403.5,0.001,268523.8,0.001,0.001,0.001,0.001,0.001
573,N-alpha-Acetyllysine,C8 H16 N2 O3,(M-H)-,188.1161,1946-82-3,,1.329,0.005,27.103,0.028,157.34,0.17,187.1091,0.0001,0.0017182,0.96,-1,3,12,93.7,,FALSE,382474.7,502038,448420.8,0.001,0.001,0.001,201165.5,352240.4,200936.8,440386.1,0.001,717896.1,0.001,0.001,0.001,502729.6,0.001,369370.9,153040.4,492412.1
574,4-Sulfocatechol,C6 H6 O5 S,(M-H)-,189.9936,7134-09-0,,0.208,0.001,22.392,0.03,129.6,0.17,188.9881,0.0003,0.001713,1.15,-1,3,9,97,,FALSE,514856.6,521637.8,508797.5,0.001,0.001,0.001,0.001,472614.6,0.001,422066.5,0.001,0.001,0.001,567131.6,0.001,665810.2,0.001,467964.8,0.001,716266.7
575,,,,,,,0.857,0.014,49.999,0.058,277.14,0.32,748.4493,0.0013,0.0017121,1.48,-1,3,8,100,,FALSE,0.001,0.001,0.001,0.001,44757.12,137716.7,0.001,0.001,496436.1,0.001,493597.1,0.001,582080,0.001,527940.4,0.001,640996.8,0.001,585332.6,0.001
576,,,,,,,2.334,0.021,21.384,0.015,123.37,0.09,196.9057,0.0002,0.0017104,2.55,-1,3,3,96.9,,FALSE,0.001,0.001,0.001,1005159,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1904239,0.001,0.001,0.001,0.001,1098582,0.001,0.001
577,,,,,,,2.471,0.001,43.443,0.065,240.88,0.36,700.3123,0.0005,0.0016919,0.91,-1,3,13,100,,FALSE,405509.8,388780.6,395069.9,0.001,0.001,0.001,96743.72,326300.8,0.001,324221.8,150997.5,520236.1,0.001,454853.7,0.001,621628.9,0.001,340889.6,65952.16,613956.7
578,Homoanserine,C11 H18 N4 O3,(M-H)-,254.1379,20314-38-9,,2.128,0.004,28.392,0.033,162.08,0.19,253.1303,0.0003,0.0016893,0.8,-1,2,13,100,,FALSE,417424.4,407428.8,405420.8,0.001,0.001,0.001,0.001,367190.6,247278.2,348583.6,312636.5,410572.6,201748.7,385343.7,0.001,496972.8,0.001,363070.3,176394.4,0.001
579,"2',3'-Cyclic UMP",C9 H11 N2 O8 P,(M-H)-,306.0253,606-02-0,,1.479,0.004,28.36,0.022,160.52,0.13,305.0179,0.0002,0.0016834,0.95,-1,2,11,100,,FALSE,461409.8,500496.2,483295,0.001,0.001,0.001,227900.7,378611.8,0.001,376697.4,0.001,463121,0.001,441646.1,0.001,519758.4,0.001,370421.3,0.001,478666.6
580,Specionin,C20 H26 O8,(M-H)-,394.1628,96944-53-5,,2.488,0.001,34.564,0.057,194.16,0.32,393.1517,0.0005,0.0016764,0.48,-1,3,17,100,,FALSE,246640.8,263601.5,287017.3,0.001,0.001,117654.7,214475.2,273659.1,0.001,284118.7,272173.1,271879.2,243545.4,273100.3,78877.76,245329.2,229121.9,259031.6,271089.7,341743.7
581,,,,,,,2.596,0.028,30.899,0.034,174.49,0.2,330.1662,0.0003,0.0016607,0.8,-1,2,14,100,,FALSE,254004.1,566759.9,460467.9,0.001,0.001,189226.5,0.001,224038.6,123880.3,385042.8,309246.1,479368.8,214197.8,283934.1,0.001,275846.8,0.001,0.001,198184.8,301613.7
582,,,,,,,1.996,0.013,33.141,0.091,186.95,0.52,345.1771,0.0002,0.0016587,1.79,-1,3,5,96.8,,FALSE,725347.9,907777.4,1008463,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,555240.4,0.001,0.001,0.001,0.001,1094895
583,,,,,,,2.552,0.046,47.277,0.051,261.62,0.29,806.2163,0.0013,0.0016491,0.97,-1,4,15,99,,FALSE,0.001,114702.8,99127.76,390892.5,0.001,351230.5,240976.6,145150.2,335539,192774.3,171901.1,157363.9,276828.4,0.001,317224.6,0.001,421658,212854.7,0.001,86254.07
